SRR6152881	Lineage_1
ERR1034794	Lineage_4.3.4
ERR1035282	Lineage_4.3.4.1
ERR2514448	Lineage_4.3.4.2
ERR1034816	Lineage_4.3.4.2.1
ERR1035311	Lineage_4.4.1
ERR2516296	Lineage_4.4.1.1
ERR2512628	Lineage_4.4.1.1.1
ERR2517511	Lineage_4.4.1.2
ERR751963	Lineage_4.4.2
ERR181785	Lineage_4.6.1
ERR553255	Lineage_4.6.1.1
ERR2513458	Lineage_4.6.1.2
ERR190355	Lineage_4.6.2
ERR046838	Lineage_4.6.2.1
ERR2513583	Lineage_4.6.2.2
ERR400522	Lineage_4.6.3
ERR2512590	Lineage_4.6.4
ERR2514126	Lineage_4.6.5
ERR552320	Lineage_4.8.1
SRR2100725	Lineage_4.8.2
ERR552205	Lineage_4.8.3
ERR2515338	Lineage_4.9.1
ERR2515090	Lineage_5.1.1
ERR2513646	Lineage_5.1.2
ERR046918	Lineage_5.1.3
ERR2510708	Lineage_5.1.4
ERR552427	Lineage_5.1.5
ERR2513326	Lineage_6.1.1
ERR2517594	Lineage_6.1.2
ERR400537	Lineage_6.1.3
ERR3170427	Lineage_6.2.1
ERR2514403	Lineage_6.2.2
ERR2517500	Lineage_6.2.3
ERR2510777	Lineage_6.3.1
ERR551901	Lineage_6.3.2
ERR551070	Lineage_6.3.3
ERR551705	Lineage_caprae
ERR2510183	Lineage_caprae
ERR2199829	Lineage_orgis
